"Total Fuel Consumption
Quantity","Electric Fuel Consumption
Quantity","Total Fuel Consumption
MMBtu","Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",YEAR
0,0,"1,533,096","1,533,096","449,030",2023
"3,067,987","3,067,987","3,187,555","3,187,555","256,738",2023
0,0,"121,817","121,817","35,702",2023
0,0,"72,342","72,342","21,161",2023
"4,695,850","4,695,850","4,857,379","4,857,379","256,221",2023
0,0,"137,849","137,849","40,402",2023
"641,266","641,266","673,330","673,330","1,026,566",2023
"18,980,764","18,980,764","19,929,802","19,929,802","1,525,899",2023
0,0,57,57,14,2023
0,0,"1,719","1,719",424,2023
0,0,"88,160,718","88,160,718","8,435,018",2023
0,0,"619,674","619,674","181,616",2023
0,0,0,0,0,2023
94,94,98,98,0,2023
"249,633","249,633","258,053","258,053","24,903",2023
0,0,0,0,0,2023
"113,191","113,191","117,161","117,161","7,821",2023
0,0,"5,489","5,489","1,609",2023
0,0,"2,002,229","2,002,229","586,820",2023
0,0,"1,039,537","1,039,537","304,671",2023
0,0,"1,616,931","1,616,931","473,895",2023
"7,460,488","7,460,488","7,784,375","7,784,375","707,790",2023
0,0,0,0,0,2023
0,0,"118,676","118,676","34,782",2023
0,0,"94,301","94,301","27,638",2023
0,0,"272,423","272,423","79,843",2023
0,0,"48,948","48,948","14,173",2023
"7,425","7,425",0,0,"-2,611",2023
0,0,0,0,0,2023
0,0,0,0,"306,218",2023
0,0,0,0,0,2023
"7,505,657","7,505,657","7,703,475","7,703,475","644,247",2023
"1,717,581","1,717,581","1,759,691","1,759,691","139,084",2023
0,0,0,0,0,2023
0,0,"129,418","129,418","33,930",2023
0,0,"30,639","30,639","8,980",2023
0,0,0,0,0,2023
"601,588","601,588",0,0,"136,341",2023
0,0,"310,782","310,782","91,032",2023
0,0,"4,394","4,394","1,288",2023
0,0,"109,802","109,802","32,154",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"149,084","149,084","154,180","154,180","32,115",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"1,031,281","1,031,281","1,066,635","1,066,635","85,204",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"395,205","395,205","407,468","407,468","37,357",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,0,0,"764,662",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"14,541,912","14,541,912","14,960,531","14,960,531","1,313,528",2023
0,0,0,0,0,2023
"1,746,161","1,746,161","1,797,658","1,797,658","177,953",2023
0,0,0,0,0,2023
"3,380,687","3,380,687","3,483,111","3,483,111","293,524",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,"337,509","337,509","98,886",2023
0,0,"31,396","31,396","9,202",2023
0,0,"60,529","60,529","17,740",2023
